SEQENCE ID                     TM SP PREDICTION
P0DPI1                          0  0 o
A5HY28                          0  Y n6-17c22/23o
A5HZ59                          0  0 o
A5I133                          0  0 o
A5I1T6                          0  0 o
A5I4N2                          0  0 o
A5I4T4                          0  0 o
A5I4U0                          0  0 o
A5I4U9                          0  Y n3-13c18/19o
A5I5V0                          0  0 o
A5I6G4                          1  0 i12-39o
A5I6N1                          0  0 o
A5I6Y8                          0  0 o
A5I766                          2  0 i12-29o115-133i
A5I7C4                          0  0 o
A5I7Q0                          2  0 i7-25o105-126i
A5I7R9                          0  0 o
A5I7S0                          0  0 o
A5HXP7                          0  0 o
A5HXQ2                          0  0 o
A5HXQ3                          0  0 o
A5HXR1                          0  0 o
A5HXS0                          0  0 i
A5HXS4                          0  0 o
A5HXS5                          0  0 o
A5HXU4                          0  0 o
A5HXW3                          0  0 o
A5HXX2                          0  0 o
A5HXX7                          0  0 o
A5HXX8                          0  0 o
A5HXZ6                          0  0 o
A5HY16                          0  0 o
A5HY17                          0  0 o
A5HY30                          0  0 o
A5HY32                          0  0 o
A5HY34                          0  0 o
A5HY38                          0  0 o
A5HY41                          0  0 o
A5HY47                          1  Y n11-22c34/35o50-77i
A5HY50                          0  0 o
A5HY52                          0  0 o
A5HY55                          0  0 o
A5HY62                          0  0 o
A5HY63                          0  0 o
A5HY67                          0  0 o
A5HYB0                          0  0 o
A5HYC0                          0  0 o
A5HYC1                          0  0 o
A5HYC2                          0  0 o
A5HYC3                          0  0 o
A5HYC6                          0  0 o
A5HYG9                          0  0 o
A5HYL0                          0  0 o
A5HYL3                          7  0 i7-25o45-66i93-112o118-138i185-208o228-250i262-282o
A5HYR4                          1  0 i9-30o
A5HYR7                          0  Y n4-22c30/31o
A5HYU4                          2  0 i9-29o103-121i
A5HYU6                          0  0 o
A5HYV4                          0  0 o
A5HYV5                          0  0 o
A5HYV8                          8  Y n2-10c15/16o25-42i49-67o92-111i118-137o157-174i181-208o228-250i262-283o
A5HYW7                          0  0 i
A5HYW8                          0  0 o
A5HYW9                          0  0 o
A5HYX0                          0  0 o
A5HYY0                          0  0 o
A5HYY2                          0  0 o
A5HYZ3                          0  0 o
A5HYZ4                          0  0 i
A5HYZ5                          0  0 o
A5HYZ6                          0  0 o
A5HZ44                          0  0 i
A5HZ46                          0  0 o
A5HZ81                          0  0 o
A5HZF9                         10  0 i21-42o54-74i86-104o116-139i151-168o174-190i195-214o283-303i315-343o349-372i
A5HZM6                          0  0 o
A5HZP3                          0  0 o
A5HZR8                          0  0 o
A5HZW4                          0  0 o
A5HZY4                          0  0 o
A5I013                          6  0 i35-56o62-80i110-133o139-157i178-195o201-219i
A5I020                          0  0 o
A5I076                         10  0 o6-26i47-69o75-92i112-128o148-168i175-193o199-216i223-243o249-275i296-315o
A5I0A2                          0  0 o
A5I0B2                          0  0 o
A5I0B5                          0  0 i
A5I0B6                          0  0 o
A5I0I2                          0  0 o
A5I0I7                          0  0 o
A5I0L1                          0  0 o
A5I0T6                          0  0 o
A5I0V9                          0  0 o
A5I0Y0                          0  0 o
A5I109                          0  0 o
A5I112                          0  0 o
A5I123                          0  Y n5-13c18/19o
A5I141                          0  0 o
A5I1C6                          0  0 o
A5I1D0                          0  0 o
A5I1F6                          0  0 o
A5I1H8                          0  0 o
A5I1T7                          0  0 o
A5I1T8                         10  0 o6-26i47-70o76-96i108-127o147-168i175-193o199-216i223-244o250-271i298-316o
A5I1T9                         10  0 i12-34o54-71i83-100o141-159i166-184o190-207i228-247o267-292i304-329o341-362i
A5I1U9                          0  0 o
A5I1V2                          0  0 o
A5I1V4                          3  Y n2-12c20/21o56-75i82-100o120-144i
A5I1Z6                          0  Y n10-20c25/26o
A5I209                          0  0 o
A5I230                          0  0 o
A5I231                          0  0 o
A5I232                          0  0 o
A5I237                          0  0 o
A5I238                          0  0 o
A5I241                          0  0 o
A5I243                          0  0 o
A5I246                          0  0 o
A5I247                          0  0 i
A5I290                          0  Y n8-19c28/29o
A5I293                          0  0 o
A5I2B0                          0  0 o
A5I2B1                          0  0 o
A5I2C8                          0  0 o
A5I2N5                          0  0 o
A5I2Q2                          0  0 o
A5I2Q6                          0  0 o
A5I2R7                          0  0 i
A5I2S0                          0  0 o
A5I2S3                          0  0 o
A5I2S9                          0  0 o
A5I2V8                          0  0 o
A5I2Y6                          0  0 o
A5I2Z6                          0  0 o
A5I2Z8                          0  0 o
A5I303                          0  0 o
A5I305                          0  0 o
A5I322                          0  0 o
A5I323                          0  0 o
A5I336                          0  0 o
A5I338                          0  0 o
A5I365                          0  0 o
A5I367                          0  0 o
A5I3B0                          0  0 o
A5I3N8                          0  0 o
A5I3S8                          4  0 i54-74o86-105i117-142o154-182i
A5I421                          0  0 i
A5I426                          0  0 o
A5I427                          0  0 i
A5I4H0                          0  0 o
A5I4I1                          0  0 o
A5I4I4                          0  0 o
A5I4I7                          0  0 o
A5I4I8                          0  0 i
A5I4I9                          0  0 o
A5I4J0                          0  0 o
A5I4J3                          0  0 o
A5I4K0                          0  0 i
A5I4K2                          0  0 o
A5I4L0                          0  0 i
A5I4L5                          0  0 o
A5I4L9                          0  0 o
A5I4M7                          0  0 o
A5I4M9                          0  0 o
A5I4N0                          0  0 o
A5I4N4                          0  0 o
A5I4N7                          0  0 o
A5I4R8                          0  0 o
A5I4S1                          0  0 o
A5I4T0                          0  0 o
A5I4T1                          0  0 o
A5I4T9                          0  0 o
A5I4V0                          0  0 o
A5I4W6                          0  0 o
A5I4X1                          0  0 o
A5I4Y5                          0  0 o
A5I4Y9                          0  0 o
A5I4Z0                          0  0 o
A5I4Z5                          0  0 o
A5I4Z9                          0  0 o
A5I526                          0  0 o
A5I539                          0  0 o
A5I557                          0  0 o
A5I5A4                          0  0 o
A5I5E9                          0  0 o
A5I5I4                          0  0 o
A5I5J5                          0  0 o
A5I5M0                          0  0 o
A5I5M8                          0  0 o
A5I5N6                          0  0 o
A5I5N8                          0  0 o
A5I5Q4                          0  0 o
A5I5Q5                          0  0 o
