# SignalP-5.0	Organism: euk	Timestamp: 20260406234122
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A5I5E1	OTHER	0.024999	0.975001	
A5I5E2	OTHER	0.000495	0.999505	
A5I5E3	OTHER	0.039099	0.960901	
A5I5E4	OTHER	0.001321	0.998679	
A5I5E5	OTHER	0.005541	0.994459	
A5I5E6	OTHER	0.000535	0.999465	
A5I5E7	OTHER	0.001185	0.998815	
A5I5E8	OTHER	0.011544	0.988456	
A5I5F0	OTHER	0.000811	0.999189	
A5I5F1	OTHER	0.000599	0.999401	
A5I5F2	OTHER	0.008387	0.991613	
A5I5F3	OTHER	0.000795	0.999205	
A5I5F4	OTHER	0.000466	0.999534	
A5I5F5	OTHER	0.002171	0.997829	
A5I5F6	OTHER	0.000475	0.999525	
A5I5F7	OTHER	0.001994	0.998006	
A5I5F8	OTHER	0.014940	0.985060	
A5I5F9	OTHER	0.000598	0.999402	
A5I5G0	OTHER	0.000784	0.999216	
A5I5G1	OTHER	0.000329	0.999671	
A5I5G2	OTHER	0.001627	0.998373	
A5I5G3	OTHER	0.001429	0.998571	
A5I5G6	OTHER	0.000211	0.999789	
A5I5G8	OTHER	0.001379	0.998621	
A5I5G9	OTHER	0.000928	0.999072	
A5I5H0	OTHER	0.000382	0.999618	
A5I5H3	OTHER	0.000589	0.999411	
A5I5H5	OTHER	0.000096	0.999904	
A5I5H6	OTHER	0.000508	0.999492	
A5I5H9	OTHER	0.000433	0.999567	
A5I5I0	OTHER	0.000379	0.999621	
A5I5I1	OTHER	0.000584	0.999416	
A5I5I3	OTHER	0.000253	0.999747	
A5I5I6	OTHER	0.000200	0.999800	
A5I5I7	OTHER	0.000662	0.999338	
A5I5I8	OTHER	0.037782	0.962218	
A5I5I9	OTHER	0.000170	0.999830	
A5I5J0	OTHER	0.000496	0.999504	
A5I5J1	OTHER	0.000397	0.999603	
A5I5J2	OTHER	0.003198	0.996802	
A5I5J3	OTHER	0.001866	0.998134	
A5I5J6	OTHER	0.001317	0.998683	
A5I5J9	OTHER	0.038421	0.961579	
A5I5K0	OTHER	0.000203	0.999797	
A5I5K1	OTHER	0.001388	0.998612	
A5I5K2	OTHER	0.000836	0.999164	
