ID	Evidences length	Evidences list	Complete evidences
A5I6G4	1	PHOBIUS_TM	PHOBIUS_TM
A5I766	1	PHOBIUS_TM	PHOBIUS_TM
A5I7Q0	1	PHOBIUS_TM	PHOBIUS_TM
A5HY47	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYL3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYR4	1	PHOBIUS_TM	PHOBIUS_TM
A5HYU4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYV8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ81	1	SL	SL
A5HZF9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I013	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I076	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1T8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1T9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I1V4	1	PHOBIUS_TM	PHOBIUS_TM
A5I3S8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I657	1	SL	SL
A5I675	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5I6W1	1	PHOBIUS_TM	PHOBIUS_TM
A5I7S3	1	PHOBIUS_TM	PHOBIUS_TM
A5I7X8	1	PHOBIUS_TM	PHOBIUS_TM
A5HXW9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY43	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY46	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY48	1	PHOBIUS_TM	PHOBIUS_TM
A5HY71	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY91	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HY97	1	PHOBIUS_TM	PHOBIUS_TM
A5HY99	1	PHOBIUS_TM	PHOBIUS_TM
A5HYC4	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5HYD9	1	SL	SL
A5HYE1	1	PHOBIUS_TM	PHOBIUS_TM
A5HYF8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYG6	1	PHOBIUS_TM	PHOBIUS_TM
A5HYH1	1	PHOBIUS_TM	PHOBIUS_TM
A5HYI2	1	PHOBIUS_TM	PHOBIUS_TM
A5HYI9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYJ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYL2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYN0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYN4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYP7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYQ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYR0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYR3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYR5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYR6	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5HYS9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYT8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HYW0	1	PHOBIUS_TM	PHOBIUS_TM
A5HYY1	1	PHOBIUS_TM	PHOBIUS_TM
A5HYZ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ22	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A5HZ76	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZ99	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZA8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZD7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZD9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A5HZF2	1	PHOBIUS_TM	PHOBIUS_TM
A5HZF5	1	PHOBIUS_TM	PHOBIUS_TM
